match_id,start_time,lobby_type,r1_hero,r1_level,r1_xp,r1_gold,r1_lh,r1_kills,r1_deaths,r1_items,r2_hero,r2_level,r2_xp,r2_gold,r2_lh,r2_kills,r2_deaths,r2_items,r3_hero,r3_level,r3_xp,r3_gold,r3_lh,r3_kills,r3_deaths,r3_items,r4_hero,r4_level,r4_xp,r4_gold,r4_lh,r4_kills,r4_deaths,r4_items,r5_hero,r5_level,r5_xp,r5_gold,r5_lh,r5_kills,r5_deaths,r5_items,d1_hero,d1_level,d1_xp,d1_gold,d1_lh,d1_kills,d1_deaths,d1_items,d2_hero,d2_level,d2_xp,d2_gold,d2_lh,d2_kills,d2_deaths,d2_items,d3_hero,d3_level,d3_xp,d3_gold,d3_lh,d3_kills,d3_deaths,d3_items,d4_hero,d4_level,d4_xp,d4_gold,d4_lh,d4_kills,d4_deaths,d4_items,d5_hero,d5_level,d5_xp,d5_gold,d5_lh,d5_kills,d5_deaths,d5_items,first_blood_time,first_blood_team,first_blood_player1,first_blood_player2,radiant_bottle_time,radiant_courier_time,radiant_flying_courier_time,radiant_tpscroll_count,radiant_boots_count,radiant_ward_observer_count,radiant_ward_sentry_count,radiant_first_ward_time,dire_bottle_time,dire_courier_time,dire_flying_courier_time,dire_tpscroll_count,dire_boots_count,dire_ward_observer_count,dire_ward_sentry_count,dire_first_ward_time,duration,radiant_win,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire
17,1430331421,1,68,2,611,500,0,0,0,6,99,2,392,545,1,0,0,7,44,3,1015,1800,25,0,0,5,39,5,2038,1840,24,1,0,6,26,2,527,600,0,0,0,8,30,2,500,500,0,0,0,7,36,4,1650,736,6,0,1,4,67,4,1470,1599,28,0,0,8,96,4,1175,615,3,0,0,6,102,2,627,753,4,0,0,9,5.0,0.0,3.0,,58.0,-84.0,223.0,0,3,2,0,14.0,,-86.0,180.0,0,5,2,0,-43.0,3270,1,1956,0,63,0
20,1430341277,1,26,3,739,585,4,0,0,11,39,5,2448,2146,19,2,0,12,48,4,1350,1695,29,0,0,13,7,2,648,801,3,0,0,10,51,3,949,653,4,0,1,9,83,2,359,616,0,0,0,8,2,3,1235,1887,30,1,0,8,25,3,730,663,2,0,0,13,11,5,1818,1231,15,0,2,9,61,4,1655,965,13,0,0,7,102.0,0.0,1.0,,107.0,-85.0,210.0,3,1,2,2,20.0,245.0,-83.0,182.0,4,3,4,3,22.0,1584,1,1974,1542,63,15
21,1430342692,1,29,2,430,642,1,0,1,5,50,2,668,595,4,0,2,10,12,4,1277,1773,27,0,1,17,26,2,436,546,1,0,0,7,22,4,1156,995,11,0,3,6,20,2,593,1086,0,1,0,7,25,6,2852,2465,20,3,0,11,68,2,623,642,0,0,0,7,72,3,1407,2259,32,2,0,8,96,4,1679,1360,11,1,0,10,-17.0,1.0,8.0,,57.0,-86.0,,7,4,2,1,-5.0,100.0,-85.0,205.0,2,4,1,0,19.0,1957,0,1796,1983,55,63
22,1430342847,7,53,3,1221,1388,18,0,0,6,71,3,731,689,1,0,1,4,48,4,1338,1939,32,0,0,9,90,3,943,775,2,0,0,10,76,5,2147,1696,24,0,0,4,101,3,763,648,2,0,0,11,52,4,1124,1871,25,1,0,8,23,4,1606,1228,16,0,0,6,7,2,571,622,1,0,0,8,96,4,1345,778,6,0,0,9,105.0,1.0,6.0,,,-85.0,290.0,1,3,3,1,-35.0,97.0,-80.0,181.0,2,4,3,3,64.0,1994,1,2038,0,63,0
23,1430344863,1,20,3,786,1088,3,0,0,9,52,5,1842,1242,16,0,1,6,99,5,1964,1306,12,0,0,6,30,3,897,1253,0,3,0,10,28,2,598,1001,10,0,1,7,98,4,1849,1103,15,0,0,5,77,5,2239,1940,25,1,0,6,16,2,533,499,0,0,1,9,63,3,1014,1586,17,1,1,11,27,2,592,499,0,0,1,9,56.0,0.0,3.0,,183.0,-70.0,199.0,3,4,4,1,8.0,113.0,-81.0,,4,2,2,0,9.0,2144,1,1854,1792,63,48
25,1430352015,1,92,4,1435,694,5,0,1,4,50,2,551,536,1,0,0,9,81,3,757,1469,24,0,0,7,76,5,2162,1536,25,0,0,5,88,2,675,500,0,0,0,6,29,2,254,604,1,0,0,7,20,2,434,542,1,0,0,6,11,4,1718,1195,13,0,0,6,18,3,965,720,3,0,0,5,59,5,2172,1679,22,1,0,10,177.0,1.0,9.0,,,-86.0,183.0,1,2,2,0,-9.0,186.0,-78.0,215.0,1,2,2,1,5.0,2914,1,1958,512,63,3
26,1430354106,1,26,2,731,500,1,0,1,8,96,3,928,939,11,0,0,9,11,5,1738,1164,13,0,0,3,75,3,969,858,8,0,0,9,95,4,1247,1101,15,0,1,8,64,3,842,619,2,0,0,6,57,2,552,570,2,0,0,12,15,5,2047,1136,14,0,0,7,18,3,832,1214,18,0,0,9,2,6,2193,1804,12,2,0,8,136.0,1.0,9.0,,2.0,-83.0,269.0,3,4,2,1,-23.0,156.0,-84.0,208.0,2,4,2,2,-15.0,2697,1,1956,0,63,0
27,1430355047,1,88,4,1697,975,4,0,0,9,58,2,830,1227,11,1,0,2,20,2,747,666,0,0,0,9,43,5,2090,1507,23,0,1,7,72,4,1510,1536,26,0,1,12,30,3,683,952,2,0,0,5,25,6,2418,2309,23,1,1,9,90,3,662,797,4,0,0,9,49,3,714,1184,13,0,0,9,96,3,1144,1090,1,1,0,8,80.0,1.0,6.0,,181.0,-85.0,185.0,3,2,2,1,-28.0,60.0,-87.0,,4,5,2,0,45.0,2790,1,1972,1280,63,48
28,1430356392,1,104,4,1276,1259,9,1,1,8,39,4,1871,1180,15,0,0,6,91,2,300,856,0,1,2,4,31,3,857,623,3,0,0,10,99,4,1551,1563,23,0,0,9,17,5,2004,1139,16,0,0,6,68,3,872,877,0,1,1,9,93,3,1232,1906,19,2,0,11,65,4,1588,1124,18,0,0,4,7,2,357,761,0,0,1,8,131.0,0.0,2.0,,49.0,-61.0,193.0,4,3,2,0,22.0,176.0,-78.0,180.0,1,5,3,0,27.0,2036,1,1975,4,63,3
29,1430357535,1,3,2,625,789,1,0,0,7,40,3,1274,1104,14,0,0,8,11,5,2132,1649,24,0,0,9,52,3,1051,1726,17,2,0,10,57,3,661,1030,0,2,0,9,79,2,317,500,0,0,2,9,26,3,940,589,2,0,1,6,35,5,1770,1323,18,0,0,13,39,5,2016,1279,20,0,0,10,70,3,910,1052,17,0,1,8,1.0,0.0,3.0,,160.0,-73.0,236.0,3,5,2,0,-20.0,192.0,-85.0,199.0,5,2,3,0,-29.0,1924,1,2036,1536,63,3
30,1430358429,7,73,5,2081,2187,19,0,0,9,99,4,1433,1479,17,0,1,10,112,0,0,499,0,0,0,0,36,4,1194,1540,19,0,0,6,40,3,802,779,0,0,0,12,2,4,1763,678,5,0,0,6,87,3,1034,938,0,1,0,7,15,5,1878,1323,16,0,0,8,10,3,1096,1408,20,0,0,13,104,3,756,998,15,0,0,6,112.0,1.0,6.0,,2.0,-87.0,180.0,1,3,2,0,7.0,173.0,-64.0,271.0,2,3,2,0,7.0,1618,1,1975,4,63,3
31,1430363469,7,26,0,914,825,4,0,0,4,14,1,1686,1255,11,1,2,6,85,2,533,968,4,0,0,4,41,1,1035,1405,16,0,0,6,99,1,1898,967,8,0,0,6,92,0,709,743,1,0,0,0,66,1,1006,1354,18,0,0,10,52,2,1848,1641,20,0,0,4,91,1,618,876,0,0,0,7,110,1,1364,1653,12,1,0,11,6.0,1.0,9.0,,154.0,-41.0,,1,3,0,0,,55.0,-83.0,,5,4,2,0,-15.0,2129,1,1974,0,63,0
32,1430365431,1,72,5,1855,2035,35,0,0,11,91,3,741,500,0,0,1,3,21,4,1697,1368,21,0,1,8,36,3,1037,1067,12,0,1,8,30,2,652,682,3,0,0,9,38,3,824,622,3,0,0,4,50,3,743,924,3,1,0,10,22,5,1976,1584,21,1,0,7,112,3,863,739,2,0,0,5,15,3,1058,1865,24,1,0,9,0.0,1.0,9.0,,46.0,-87.0,196.0,3,3,2,1,12.0,10.0,-88.0,200.0,1,5,3,0,-28.0,1922,1,2046,1540,63,3
34,1430372971,1,110,3,802,592,1,0,1,7,3,2,363,841,1,1,0,11,7,2,615,965,3,0,0,8,39,5,2296,1755,22,1,0,8,75,5,1745,1713,16,2,0,11,21,4,1446,1022,9,0,2,8,88,3,636,753,0,1,0,8,1,3,1142,1685,27,0,0,5,26,2,534,635,0,0,0,8,51,1,629,571,1,0,2,8,105.0,0.0,4.0,,121.0,-81.0,198.0,1,5,4,1,-10.0,,-84.0,181.0,5,1,2,1,65.0,2069,1,1956,0,63,0
35,1430373522,0,36,4,1170,1384,6,2,1,6,48,3,983,1169,10,0,1,13,95,6,2561,2246,27,1,0,9,3,3,977,1111,10,0,0,12,25,3,818,934,2,0,1,11,73,4,1431,1842,13,1,1,9,79,2,711,860,5,0,1,7,46,4,1245,1262,7,2,1,6,20,4,1242,691,2,0,0,10,96,3,1156,1201,13,0,0,8,138.0,0.0,2.0,,139.0,-66.0,180.0,3,2,1,1,10.0,121.0,-85.0,245.0,3,4,2,1,-14.0,2706,0,0,1828,0,63
36,1430374551,1,58,4,1324,1338,15,0,0,11,39,4,1559,1746,28,0,0,12,49,5,2392,2039,28,1,0,9,30,2,804,849,6,1,0,4,71,2,350,578,2,0,2,6,16,2,679,827,7,0,0,3,22,5,1785,1314,16,0,1,5,48,5,1789,1706,24,1,0,12,25,2,512,1048,2,1,0,11,2,3,1356,781,10,0,1,6,145.0,1.0,8.0,,69.0,-78.0,188.0,2,5,3,1,-45.0,52.0,-88.0,183.0,3,5,3,0,-10.0,3171,0,1824,1846,60,63
38,1430375522,7,53,4,1299,1218,23,0,0,6,22,4,1591,1294,8,1,0,6,71,3,926,500,0,0,1,5,68,3,737,540,1,0,0,9,95,3,832,1067,14,0,1,7,54,3,1060,1428,19,0,0,3,96,3,1370,880,5,0,0,8,17,4,1681,1007,11,0,1,3,26,3,805,872,2,1,0,8,27,2,620,863,0,1,0,9,4.0,1.0,9.0,,178.0,-78.0,,3,3,1,0,-7.0,22.0,-54.0,298.0,2,4,1,1,-15.0,3113,0,4,1844,3,63
39,1430377785,1,8,4,1258,1706,21,1,0,6,35,5,1691,1162,17,0,1,6,68,2,559,708,2,0,0,12,96,4,1582,870,10,0,1,4,50,2,490,499,0,0,1,7,3,3,991,846,3,0,0,9,61,5,2263,2289,33,1,0,6,73,2,498,846,1,1,1,9,63,3,1028,1099,14,0,0,10,17,5,2131,1499,14,1,0,7,167.0,1.0,6.0,,,-80.0,,1,3,3,2,-7.0,162.0,-85.0,184.0,2,3,1,1,22.0,1399,0,1572,2047,63,63
40,1430377992,1,91,2,817,859,0,0,1,4,97,4,1553,942,10,0,0,4,19,4,1842,1701,22,1,1,9,26,3,658,610,1,0,2,12,75,3,1277,1277,13,0,1,6,60,3,914,1044,2,1,0,10,22,4,1833,2142,20,2,0,11,25,3,718,579,2,0,0,10,36,4,1540,1746,30,0,0,9,99,5,2096,2050,19,2,1,9,54.0,1.0,6.0,,0.0,-77.0,182.0,5,3,3,0,-16.0,69.0,67.0,205.0,3,5,4,0,-36.0,1439,0,1536,2047,60,63
43,1430379895,1,50,3,741,964,1,1,1,9,26,3,627,654,5,0,0,6,12,5,1848,1686,27,0,0,11,25,4,1795,989,11,0,0,7,2,4,1037,1309,16,0,1,7,97,3,1550,1078,13,0,0,4,54,3,1167,1293,12,1,0,7,89,2,666,765,0,0,0,7,5,2,552,890,3,1,1,5,76,5,2025,1677,29,0,0,9,196.0,0.0,0.0,,220.0,-86.0,181.0,2,3,2,0,-29.0,138.0,-85.0,210.0,2,3,2,1,-36.0,2069,1,1974,1536,63,0
44,1430380033,0,20,3,913,1119,0,1,0,8,85,3,1097,1277,4,2,1,9,22,5,1997,1608,24,0,0,7,72,3,978,1703,20,1,1,12,71,5,2110,1377,21,0,0,10,59,5,2135,1702,14,2,0,5,26,1,450,626,0,0,1,7,67,2,608,539,2,0,1,6,75,2,659,903,1,0,1,7,96,4,1354,1001,11,0,1,9,133.0,0.0,0.0,,26.0,-71.0,,0,4,2,0,-9.0,,-82.0,,3,3,2,0,-18.0,2912,1,2038,36,63,15
45,1430380471,1,88,2,510,619,6,0,0,6,11,5,2135,1985,32,0,0,9,30,1,647,695,7,0,0,9,110,2,619,657,4,0,1,5,17,5,1793,1806,30,0,0,9,87,3,808,1137,5,1,0,11,22,4,1597,1248,17,0,0,7,7,2,460,793,1,0,0,11,12,4,1742,1861,28,0,0,13,51,4,1634,991,12,0,0,6,,,,,109.0,-86.0,200.0,2,3,3,0,-19.0,59.0,-88.0,186.0,1,5,2,1,-17.0,2338,0,1542,1972,51,63
46,1430380644,1,71,2,546,663,4,0,3,6,30,2,672,776,0,0,1,10,22,6,2587,1918,18,1,0,10,26,3,959,922,1,1,1,10,95,3,1014,1465,22,0,1,7,74,5,1580,1162,11,0,0,11,62,2,763,1577,0,2,1,10,60,4,1888,1820,10,2,1,8,20,2,1163,1070,4,0,0,11,52,4,1819,2201,23,2,0,10,8.0,1.0,6.0,,47.0,-87.0,181.0,6,4,4,1,-19.0,,-85.0,193.0,7,4,3,1,-36.0,2708,0,0,1974,0,63
47,1430380922,1,30,3,838,620,3,0,1,8,7,3,772,693,5,0,0,7,81,4,1183,1071,12,0,0,7,13,4,1624,656,4,0,0,2,75,3,691,626,3,0,1,8,51,5,2033,1528,15,0,0,8,68,1,354,780,3,0,0,11,74,5,2001,1902,21,1,0,8,26,3,733,855,0,1,0,8,6,3,1197,1306,15,0,0,10,224.0,1.0,7.0,,78.0,-82.0,,1,4,1,0,-14.0,154.0,-84.0,196.0,1,4,2,0,-13.0,1190,0,54,2047,15,63
48,1430383501,1,25,5,2168,1768,29,0,0,7,92,3,1094,1483,0,3,2,14,10,4,1461,739,4,0,1,8,6,4,1442,1782,32,0,0,12,71,3,579,756,1,0,1,8,17,4,1635,1116,13,0,1,7,20,2,849,830,0,1,1,12,47,4,1765,1895,22,1,0,11,85,3,1010,1431,4,2,1,10,78,3,1128,662,4,0,0,4,150.0,0.0,1.0,,119.0,-85.0,193.0,4,5,2,0,5.0,164.0,-87.0,212.0,6,2,3,1,-30.0,1368,1,1983,512,63,0
49,1430384016,1,39,4,1579,863,9,0,0,6,74,5,2127,1356,19,0,0,9,92,3,749,499,1,0,0,4,6,3,1045,1368,22,0,0,7,20,1,233,545,2,0,1,10,85,3,746,780,4,0,0,9,71,3,786,1038,4,1,0,7,90,3,613,499,0,0,0,8,12,5,2197,1581,22,0,0,8,93,3,1175,1306,19,0,0,8,151.0,1.0,6.0,,176.0,-87.0,181.0,1,3,3,0,-7.0,41.0,-85.0,181.0,3,4,2,0,-1.0,1638,1,2047,1536,63,0
50,1430384358,7,19,3,1230,1962,23,1,0,6,29,3,810,786,6,0,0,2,20,3,1042,799,3,0,0,9,101,2,309,592,2,0,0,8,74,5,1908,1184,17,0,0,5,96,4,1697,742,6,0,1,6,17,5,2129,1419,19,0,0,3,26,3,783,567,3,0,0,9,8,4,1367,1758,28,0,0,4,57,1,434,573,3,0,0,7,242.0,0.0,0.0,,,-82.0,,0,3,2,1,11.0,35.0,-83.0,,2,2,4,0,-33.0,1904,1,1983,0,63,0
51,1430385982,7,101,2,548,612,0,0,0,5,30,1,193,550,3,0,0,7,99,5,1812,1325,18,0,0,9,12,4,1694,1478,25,0,0,11,90,3,742,701,5,0,0,10,104,3,1070,1761,29,0,0,8,5,1,268,550,1,0,0,13,51,3,650,515,1,0,0,6,76,5,1863,1167,16,0,0,6,57,3,908,537,1,0,0,4,,,,,153.0,-87.0,190.0,2,1,2,1,-24.0,,-82.0,208.0,2,3,2,1,-3.0,3419,0,0,1792,0,48
52,1430386561,1,20,3,822,905,0,0,2,7,39,5,2004,1789,15,2,0,12,51,5,1908,2105,17,2,0,8,110,3,925,1267,2,1,2,14,12,4,1414,2173,32,2,1,10,22,5,2111,1517,13,2,1,6,16,2,716,1239,5,2,2,6,10,2,914,978,0,1,1,7,5,2,516,499,0,0,2,7,106,4,1595,1601,22,0,1,11,-13.0,0.0,1.0,,58.0,-83.0,183.0,5,4,2,0,-45.0,9.0,-81.0,297.0,6,3,2,0,112.0,3366,1,1972,1536,63,3
53,1430388404,1,94,4,1261,1598,25,0,0,8,75,5,1869,1428,22,0,1,7,26,3,603,555,0,0,0,10,25,1,184,500,0,0,0,10,61,4,1537,927,11,0,0,6,71,4,1673,776,7,0,0,5,22,5,2004,1970,22,1,0,9,35,3,1226,1205,20,0,0,5,20,2,391,571,2,0,0,8,102,3,761,578,3,0,0,7,144.0,1.0,6.0,,135.0,-82.0,271.0,2,2,3,0,-35.0,73.0,-75.0,187.0,0,3,2,1,-26.0,3193,0,384,1828,48,63
54,1430392282,1,51,4,1583,1421,13,1,1,7,26,2,350,554,0,0,0,7,17,6,2269,2112,24,1,0,8,60,2,342,546,1,0,0,8,44,4,1441,1472,24,0,0,6,40,3,1179,1442,17,1,0,12,39,5,1842,1081,15,0,1,5,12,3,612,653,4,0,1,4,27,2,643,737,2,0,0,7,69,2,710,833,3,0,0,6,217.0,0.0,2.0,,46.0,-86.0,180.0,2,3,2,0,-26.0,171.0,-83.0,,2,3,2,0,-6.0,1672,1,2039,2038,63,63
56,1430393774,1,27,2,496,637,1,0,0,8,28,3,1437,1302,16,0,0,6,5,2,496,879,1,1,0,5,96,4,1320,622,3,0,0,5,44,5,1919,1108,15,0,0,5,1,4,1206,1822,32,0,0,6,34,5,2266,1738,27,0,0,6,71,2,452,581,2,0,1,8,26,3,917,500,0,0,0,6,100,4,1141,720,4,0,0,7,234.0,0.0,2.0,,153.0,-81.0,207.0,0,3,2,0,8.0,127.0,-62.0,265.0,1,2,2,0,-13.0,2165,1,1972,4,63,3
57,1430396605,1,3,3,856,650,7,0,0,10,73,4,1365,1198,9,0,0,9,54,4,1406,1070,12,0,0,6,91,2,244,499,0,0,1,1,12,5,1857,1449,23,0,0,10,5,3,826,546,2,0,0,7,56,5,1812,1609,17,1,0,10,104,4,1325,1130,23,0,0,4,19,5,2168,1386,11,0,0,9,36,4,1823,1801,29,0,0,11,102.0,1.0,6.0,,47.0,-72.0,192.0,0,3,2,0,37.0,166.0,-70.0,191.0,1,3,2,1,-6.0,1573,0,1796,2047,63,63
58,1430396671,7,88,2,387,627,5,0,0,5,49,5,2082,1777,21,1,0,7,74,4,1379,1380,21,0,0,8,20,2,584,540,0,0,0,9,16,2,597,540,1,0,2,8,1,4,1666,2015,29,1,0,5,17,5,1878,1422,23,0,0,7,52,2,616,801,0,1,0,8,7,1,348,646,0,0,1,8,29,4,1403,743,6,0,0,6,-3.0,0.0,1.0,,37.0,-86.0,221.0,5,4,3,1,-23.0,122.0,-78.0,180.0,0,4,2,1,20.0,2344,0,4,1956,3,63
59,1430397505,7,7,4,1441,986,12,0,1,5,44,4,1269,1710,28,0,0,4,96,3,855,623,3,0,1,9,86,3,818,538,1,0,0,10,57,2,296,557,0,0,0,9,12,4,1366,1956,24,1,0,8,16,3,874,1149,6,1,0,3,26,2,523,629,2,0,0,7,29,4,1217,948,11,0,0,7,39,5,1934,1216,15,0,0,7,92.0,1.0,5.0,,97.0,-75.0,241.0,5,3,2,1,41.0,189.0,-84.0,,0,2,2,1,-28.0,2283,1,1974,256,63,48
61,1430398746,7,75,3,871,864,2,1,0,12,18,4,1275,1194,15,0,0,5,29,2,618,499,0,0,1,8,22,4,1798,953,10,0,0,4,104,3,947,980,17,0,0,6,36,5,2056,858,9,0,0,7,26,3,955,556,0,0,0,10,3,1,204,570,1,0,0,9,85,4,1517,909,9,0,1,7,44,4,1261,1947,25,1,0,10,46.0,1.0,9.0,,62.0,-77.0,198.0,1,2,3,1,-8.0,196.0,-82.0,230.0,1,1,2,1,-27.0,1694,0,4,2047,3,63
65,1430402721,1,39,4,1963,1859,15,2,2,9,110,2,410,499,0,0,2,10,112,2,638,655,1,0,0,11,26,3,976,1037,3,1,0,7,106,4,1303,1684,26,0,0,9,101,2,666,966,2,1,0,14,20,3,697,1167,2,1,1,9,95,4,1746,1770,31,0,0,7,96,3,971,713,5,0,0,4,47,5,1737,1562,13,2,2,8,46.0,1.0,5.0,,182.0,-60.0,203.0,5,4,4,1,-9.0,,-80.0,182.0,4,5,2,1,-26.0,2077,1,1974,1792,63,48
